School Name,URL,City,State
Pulaski Technical College,admissions@pulaskitech.edu,North Little Rock,AR
Southern Arkansas University Magnolia,admissions@saumag.edu,Magnolia,AR
Southeast Arkansas College,admissions@seark.edu,Pine Bluff,AR
University of Arkansas Community College Batesville,admissions@uaccb.edu,Batesville,AR
University of Arkansas at Little Rock,admissions@ualr.edu,Little Rock,AR
University of Arkansas for Medical Sciences,admissions@uams.edu,Little Rock,AR
University of Arkansas at Pine Bluff,admissions@uapb.edu,Pine Bluff,AR
University of Arkansas,admissions@uark.edu,Fayetteville,AR
University of Central Arkansas,admissions@uca.edu,Conway,AR
Williams Baptist College,admissions@wbcoll.edu,Walnut Ridge,AR
University of Arizona,admissions@arizona.edu,Tucson,AZ
Arizona State University,admissions@asu.edu,Tempe,AZ
Arizona Western College,admissions@azwestern.edu,Yuma,AZ
Bryan University,admissions@bryanuniversity.edu,Tempe,AZ
Central Arizona College,admissions@centralaz.edu,Coolidge,AZ
Glendale Community College,admissions@gccaz.edu,Glendale,AZ
Grand Canyon University,admissions@gcu.edu,Phoenix,AZ
Maricopa Community Colleges,admissions@maricopa.edu,Phoenix,AZ
Mesa Community College,admissions@mesacc.edu,Mesa,AZ
Northern Arizona University,admissions@nau.edu,Flagstaff,AZ
Northland Pioneer College,admissions@npc.edu,(multiple locations),AZ
University of Phoenix,admissions@phoenix.edu,Tempe,AZ
Phoenix College,admissions@phoenixcollege.edu,Phoenix,AZ
Pima Community College,admissions@pima.edu,Tucson,AZ
Prescott College,admissions@prescott.edu,Prescott,AZ
Rio Salado College,admissions@riosalado.edu,Tempe,AZ
South Mountain Community College,admissions@southmountaincc.edu,Pheonix,AZ
University of Advancing Technology,admissions@uat.edu,Tempe,AZ
Yavapai College,admissions@yc.edu,Prescott,AZ
Academy of Arts University,admissions@academyart.edu,San Francisco,CA
Adance Computing Institute,admissions@advancedcomputinginstitute.edu,Los Angeles,CA
Acupuncture & Integrative Medicine College,admissions@aimc.edu,Berkeley,CA
Alliant International University,admissions@alliant.edu,Alhambra,CA
Allied American University,admissions@allied.edu,Laguna Hills,CA
Anaheim University,admissions@anaheim.edu,Anaheim,CA
Angeles College,admissions@angelescollege.edu,Los Angeles,CA
Antioch University Los Angeles,admissions@antiochla.edu,Culver City,CA
Argosy University,admissions@argosy.edu,(multiple locations),CA
Art Center College of Design,admissions@artcenter.edu,Pasadena,CA
The Art Institute,admissions@artinstitutes.edu,(multiple locations),CA
Ashford University,admissions@ashford.edu,San Diego,CA
ATI College,admissions@ati.edu,Norwalk,CA
Antelope Valley College,admissions@avc.edu,Lancaster,CA
Bakersfield College,admissions@bakersfieldcollege.edu,Bakersfield,CA
Barstow Community College,admissions@barstow.edu,Barstow,CA
Berkeley University of California,admissions@berkeley.edu,Berkeley,CA
Berkeley City College,admissions@berkeleycitycollege.edu,Berkeley,CA
Brandman University,admissions@brandman.edu,Irvine,CA
Butte College,admissions@butte.edu,Oroville,CA
Cabrillo College,admissions@cabrillo.edu,Aptos,CA
California Institute of the Arts,admissions@calarts.edu,Valencie,CA
California Baptist University,admissions@calbaptist.edu,Riverside,CA
California Lutheran University,admissions@callutheran.edu,Thousand Oaks,CA
California Miramar University,admissions@calmu.edu,San Diego,CA
California Polytechnic State University,admissions@calpoly.edu,San Luis Obispo,CA
California State University,admissions@calstate.edu,Long Beach,CA
California Institute of Technology,admissions@caltech.edu,Pasadena,CA
Canada College,admissions@canadacollege.edu,Redwood City,CA
College of the Canyons,admissions@canyons.edu,Santa Clarita,CA
California College of the Arts,admissions@cca.edu,San Francisco,CA
California Community Colleges Chanellor's Office,admissions@cccco.edu,Sacramento,CA
City College of San Francisco,admissions@ccsf.edu,San Francisco,CA
Cerritos College,admissions@cerritos.edu,Norwalk,CA
Cerro Coso Community College,admissions@cerrocoso.edu,Ridgecrest,CA
Claremont Graduate University,admissions@cgu.edu,Claremont,CA
Chaffey College,admissions@chaffey.edu,Rancho Cucamonga,CA
Chapman University,admissions@chapman.edu,Orange,CA
California Institute of Integral Studies,admissions@ciis.edu,San Francisco,CA
Citrus College,admissions@citruscollege.edu,Glendora,CA
The Claremont Colleges,admissions@claremont.edu,Claremont,CA
Claremont McKenna College,admissions@cmc.edu,Claremont,CA
Copper Mountain College,admissions@cmccd.edu,(multiple locations),CA
Cogswell Polytechnical College,admissions@cogswell.edu,Sunnyvale,CA
College of San Mateo,admissions@collegeofsanmateo.edu,San Mateo,CA
College of the Desert,admissions@collegeofthedesert.edu,Palm Desert,CA
El Camino College Compton Center,admissions@compton.edu,Compton,CA
Contra Costa College,admissions@contracosta.edu,San Pablo,CA
College of the Sequoias,admissions@cos.edu,Visalia,CA
Crafton Hills College,admissions@craftonhills.edu,Yucaipa,CA
California State University Bakersfield,admissions@csub.edu,Bakersfield,CA
California State University Channel Islands,admissions@csuci.edu,Camarillo,CA
California State University Dominguez Hills,admissions@csudh.edu,Carson,CA
California State University East Bay,admissions@csueastbay.edu,Hayward,CA
Fresno State,admissions@fresnostate.edu,Fresno,CA
California State University Long Beach,admissions@csulb.edu,Long Beach,CA
California State University Monterey Bay,admissions@csumb.edu,Seaside,CA
California State University Northridge,admissions@csun.edu,Northridge,CA
California State Polytechnic University Pomona,admissions@csupomona.edu,Pomona,CA
California State University Sacramento,admissions@csus.edu,Sacramento,CA
California State University San Bernardino,admissions@csusb.edu,San Bernardino,CA
California State University San Marcos,admissions@csusm.edu,San Marcos,CA
California State University Stanislaus,admissions@csustan.edu,Stanislaus,CA
Cuesta College,admissions@cuesta.edu,San Luis Obispo,CA
Cuyamaca College,admissions@cuyamaca.edu,El Cajon,CA
California Western School of Law San Diego,admissions@cwsl.edu,San Diego,CA
Cypress College,admissions@cypresscollege.edu,Cypress,CA
DeAnza College,admissions@deanza.edu,Cupertino,CA
San Joaquin Delta College,admissions@deltacollege.edu,Stockton,CA
Dominican University of California,admissions@dominican.edu,San Rafael,CA
Dominican School of Philosophy and Theology,admissions@dspt.edu,Berkeley,CA
Diablo Valley College,admissions@dvc.edu,Pleasant Hill,CA
East Los Angeles College,admissions@elac.edu,Monterey Park,CA
El Camino College,admissions@elcamino.edu,Torrance,CA
Ex'pression College,admissions@expression.edu,San Jose,CA
Foothill-De Anza Community College District,admissions@fhda.edu,Los Altos Hills,CA
Fashion Institute of Design & Merchandising,admissions@fidm.edu,San Francisco,CA
Fielding Graduate University,admissions@fielding.edu,Santa Barbara,CA
Foothill College,admissions@foothill.edu,Los Altos Hills,CA
Fresno Pacific University,admissions@fresno.edu,Fresno,CA
Fresno City College,admissions@fresnocitycollege.edu,Fresno,CA
Frederick Taylor University,admissions@ftu.edu,Moraga,CA
Fullerton College,admissions@fullcoll.edu,Fullerton,CA
Fuller Theological Seminary,admissions@fuller.edu,Pasadena,CA
California State University Fullerton,admissions@fullerton.edu,Fullerton,CA
Gavilan College,admissions@gavilan.edu,Gilroy,CA
Golden Gate Baptist Theological Seminary,admissions@ggbts.edu,Mill Valley,CA
Glendale Community College,admissions@glendale.edu,Glendale,CA
Gnomon School of Visual Effects,admissions@gnomon.edu,Hollywood,CA
Columbia College,admissions@gocolumbia.edu,Sonora,CA
Golden West College,admissions@goldenwestcollege.edu,Huntington Beach,CA
Grossmont College,admissions@grossmont.edu,El Cajon,CA
Allan Hancock College,admissions@hancockcollege.edu,Santa Maria,CA
Hartnell College,admissions@hartnell.edu,Salinas,CA
Henley-Putnam University,admissions@henley-putnam.edu,Santa Clara,CA
Harvey Mudd College,admissions@hmc.edu,Claremont,CA
Holy Names University,admissions@hnu.edu,Oakland,CA
Humboldt State University,admissions@humboldt.edu,Arcata,CA
Humphreys College,admissions@humphreys.edu,Stockton,CA
Imperial Valley College,admissions@imperial.edu,Imperial,CA
International Sports Sciences Association,admissions@issaonline.edu,Carpinteria,CA
International Technological University,admissions@itu.edu,San Jose,CA
Irvine Valley College,admissions@ivc.edu,Irvine,CA
William Jessup University,admissions@jessup.edu,Rocklin,CA
John F. Kennedy University,admissions@jfku.edu,Pleasant Hill,CA
Keck Graduate Institute,admissions@kgi.edu,Claremont,CA
Mount Saint Mary's College,admissions@la.edu,Los Angeles,CA
Los Angeles Community College District,admissions@laccd.edu,Los Angeles,CA
Los Angeles City College,admissions@lacitycollege.edu,Los Angeles,CA
Los Angeles Harbor College,admissions@lahc.edu,Wilmington,CA
Los Angeles Mission College,admissions@lamission.edu,Sylmar,CA
Laney College,admissions@laney.edu,Oakland,CA
Los Angeles Southwest College,admissions@lasc.edu,Los Angeles,CA
La Sierra University,admissions@lasierra.edu,Riverside,CA
Las Positas College,admissions@laspositascollege.edu,Livermore,CA
Los Angeles Trade-Tech Community College,admissions@lattc.edu,Los Angeles,CA
Laurus College,admissions@lauruscollege.edu,Santa Maria,CA
Los Angeles Valley College,admissions@lavc.edu,Valley Glen,CA
University of La Verne,admissions@laverne.edu,La Verne,CA
UCLA School of Law,admissions@ucla.edu,Los Angeles,CA
Long Beach City College,admissions@lbcc.edu,Long Beach,CA
Life Chiropractic College West,admissions@lifewest.edu,Hayward,CA
Loma Linda University,admissions@llu.edu,Loma Linda,CA
Loyola Marymount University,admissions@lmu.edu,Los Angeles,CA
Los Medanos College,admissions@losmedanos.edu,Pittsburg,CA
Los Rios Community College District,admissions@losrios.edu,Sacramento,CA
Lake Tahoe Community College,admissions@ltcc.edu,South Lake Tahoe,CA
College of Marin,admissions@marin.edu,Kentfield,CA
Marymount California University,admissions@marymountcalifornia.edu,Rancho Palos Verdes,CA
The Master's College,admissions@masters.edu,Santa Clarita,CA
Merced Community College,admissions@mccd.edu,Merced,CA
Mills College,admissions@mills.edu,Oakland,CA
MiraCosta College,admissions@miracosta.edu,Oceanside,CA
Modesto Junior College,admissions@mjc.edu,Modesto,CA
Mount San Jacinto College,admissions@msjc.edu,(multiple locations),CA
Mount San Antonio College,admissions@mtsac.edu,Walnut,CA
Napa Valley College,admissions@napavalley.edu,Napa,CA
Notre Dame de Namur University,admissions@ndnu.edu,Belmont,CA
NewSchool of Architecture and Design,admissions@newschoolarch.edu,San Diego,CA
Norco College,admissions@norcocollege.edu,Norco,CA
Naval Postgraduate School,admissions@nps.edu,Monterey,CA
Ohlone College,admissions@ohlone.edu,Fremont,CA
Orange Coast College,admissions@orangecoastcollege.edu,Costa Mesa,CA
Otis College of Art and Design,admissions@otis.edu,Los Angeles,CA
Occidental College,admissions@oxy.edu,Los Angeles,CA
University of the Pacific,admissions@pacific.edu,Stockton,CA
Pacific College of Oriental Medicine,admissions@pacificcollege.edu,San Diego,CA
Palomar College,admissions@palomar.edu,San Marcos,CA
Pasadena City College,admissions@pasadena.edu,Pasadena,CA
Pepperdine University,admissions@pepperdine.edu,Malibu,CA
Peralta Community College District,admissions@peralta.edu,Oakland,CA
Pierce College,admissions@piercecollege.edu,Woodland Hills,CA
Pitzer College,admissions@pitzer.edu,Claremont,CA
Pacific Lutheran Theological Seminary,admissions@plts.edu,Berkeley,CA
Point Loma Nazarene University,admissions@pointloma.edu,San Diego,CA
Pomona College,admissions@pomona.edu,Claremont,CA
Porterville College,admissions@portervillecollege.edu,Porterville,CA
Pacific School of Religion,admissions@psr.edu,Berkeley,CA
Riverside City College,admissions@rcc.edu,Riverside,CA
Riverside Community College District,admissions@rccd.edu,Riverside,CA
University of Redlands,admissions@redlands.edu,Redlands,CA
College of the Redwoods,admissions@redwoods.edu,Eureka,CA
Rio Hondo College,admissions@riohondo.edu,Whittier,CA
Rosemead College,admissions@rosemeadcollege.edu,Rosemead,CA
Santa Ana College,admissions@sac.edu,Santa Ana,CA
Saddleback College,admissions@saddleback.edu,Mission Viejo,CA
University of San Diego,admissions@sandiego.edu,San Diego,CA
Santa Rosa Junior College,admissions@santarosa.edu,Santa Rosa,CA
Santa Barbara City College,admissions@sbcc.edu,Santa Barbara,CA
School of Continuing Education,admissions@sce.edu,Anaheim,CA
Scripps College,admissions@scrippscollege.edu,Claremont,CA
Santa Clara University,admissions@scu.edu,Santa Clara,CA
Southern California University of Health Sciences,admissions@scuhs.edu,Whittier,CA
San Diego City College,admissions@sdcity.edu,San Diego,CA
San Diego Mesa College,admissions@sdmesa.edu,San Diego,CA
San Diego State University,admissions@sdsu.edu,San Diego,CA
San Francisco State University,admissions@sfsu.edu,San Francisco,CA
Shasta College,admissions@shastacollege.edu,Redding,CA
The Institute of Buddhist Studies,admissions@shin-ibs.edu,Berkeley,CA
Sierra College,admissions@sierracollege.edu,Rocklin,CA
Simpson University,admissions@simpsonu.edu,Redding,CA
College of the Siskiyous,admissions@siskiyous.edu,Weed,CA
San Jose State University,admissions@sjsu.edu,San Jose,CA
Starr King School for the Ministry,admissions@sksm.edu,Berkeley,CA
Skyline College,admissions@skylinecollege.edu,San Bruno,CA
Santa Monica College,admissions@smc.edu,Santa Monica,CA
San Mateo County Community College,admissions@smccd.edu,San Mateo,CA
Soka University of America,admissions@soka.edu,Aliso Viejo,CA
Solano Community College,admissions@solano.edu,(multiple locations),CA
Sonoma State University,admissions@sonoma.edu,Rohnert Park,CA
Stanford University,admissions@stanford.edu,Stanford,CA
Saint Mary's College,admissions@stmarys-ca.edu,Moraga,CA
Taft College,admissions@taftcollege.edu,Taft,CA
Touro University California,admissions@tu.edu,Vallejo,CA
University of California Davis,admissions@ucdavis.edu,Davis,CA
University of California Hastings College of the Law,admissions@uchastings.edu,San Francisco,CA
University of California Irvine,admissions@uci.edu,Irvine,CA
University of California Los Angeles,admissions@ucla.edu,Los Angeles,CA
University of California Los Angeles Extension,admissions@uclaextension.edu,Los Angeles,CA
University of California Merced,admissions@ucmerced.edu,Merced,CA
University of California,admissions@ucop.edu,Oakland,CA
University of California Press,admissions@ucpress.edu,(multiple locations),CA
University of California Riverside,admissions@ucr.edu,Riverside,CA
University of California Santa Barbara,admissions@ucsb.edu,Santa Barbara,CA
University of California Santa Cruz,admissions@ucsc.edu,Santa Cruz,CA
University of California Santa Cruz Silicon Valley Extension,admissions@ucsc-extension.edu,Santa Clara,CA
University of California San Diego,admissions@ucsd.edu,La Jolla,CA
University of California San Francisco,admissions@ucsf.edu,San Francisco,CA
University of California,admissions@universityofcalifornia.edu,Berkeley,CA
University of the Pacific,admissions@uop.edu,Stockton,CA
University of Southern California,admissions@usc.edu,Los Angeles,CA
University of San Francisco,admissions@usfca.edu,San Francisco,CA
San Bernardino Valley College,admissions@valleycollege.edu,San Bernardino,CA
Ventura College,admissions@venturacollege.edu,Ventura,CA
Victor Valley College,admissions@vvc.edu,Victorville,CA
West Coast Baptist College,admissions@wcbc.edu,Lancaster,CA
Western University of Health Sciences,admissions@westernu.edu,Pamona,CA
Westmont College,admissions@westmont.edu,Santa Barbara,CA
West Valley College,admissions@westvalley.edu,Saratoga,CA
West Hills Community College District,admissions@whccd.edu,Coalinga,CA
Whittier College,admissions@whittier.edu,Whittier,CA
West Los Angeles College,admissions@wlac.edu,Culver City,CA
Yuba Community College District,admissions@yccd.edu,Marysville,CA
Yosemite Community College District,admissions@yosemite.edu,Modesto,CA
Unitek College,admissions@unitekcollege.edu,Fremont,CA
Vanguard University,admissions@vanguard.edu,Costa Mesa,CA
Southwestern College,admissions@swcc.edu,Chula Vista,CA
Monterey Institute of International Studies,admissions@miis.edu,Monterey,CA
Adams State University,admissions@adams.edu,Alamosa,CO
Auraria Higher Education Center,admissions@ahec.edu,Denver,CO
Aims Community College,admissions@aims.edu,Greeley,CO
Arapahoe Community College,admissions@arapahoe.edu,Littleton,CO
Community College of Aurora,admissions@ccaurora.edu,(multiple locations),CO
Community College of Denver,admissions@ccd.edu,Denver,CO
Colorado Heights University,admissions@chu.edu,Denver,CO
University of Colorado Boulder,admissions@colorado.edu,Boulder,CO
Colorado College,admissions@coloradocollege.edu,Colorado Springs,CO
Colorado Mesa University,admissions@coloradomesa.edu,Grand Junction,CO
Colorado State University,admissions@colostate.edu,Fort Collins,CO
Colorado State University-Pueblo,admissions@colostate-pueblo.edu,Pueblo,CO
University of Denver,admissions@du.edu,Denver,CO
Fort Lewis College,admissions@fortlewis.edu,Durango,CO
Front Range Community College,admissions@frontrange.edu,Westminster,CO
Jones International University,admissions@jiu.edu,Centennial,CO
Colorado School of Mines,admissions@mines.edu,Golden,CO
Metropolitan State University of Denver,admissions@msudenver.edu,Denver,CO
Naropa University,admissions@naropa.edu,Boulder,CO
Pikes Peak Community College,admissions@ppcc.edu,Colorado Springs,CO
Pueblo Community College,admissions@pueblocc.edu,(multiple locations),CO
Redstone College,admissions@redstone.edu,Denver,CO
Regis University,admissions@regis.edu,Denver,CO
University of the Rockies,admissions@rockies.edu,Colorado Springs,CO
Red Rocks Community College,admissions@rrcc.edu,Lakewood,CO
William Howard Taft University,admissions@taft.edu,Denver,CO
University Corporation for Atmospheric Research,admissions@ucar.edu,Boulder,CO
University of Colorado Colorado Springs,admissions@uccs.edu,Colorado Springs,CO
University of Colorado Denver,admissions@ucdenver.edu,(multiple locations),CO
University of Northern Colorado,admissions@unco.edu,Greeley,CO
University of Colorado,admissions@cu.edu,Denver,CO
Western State Colorado University,admissions@western.edu,Gunnison,CO
Albertus Magnus College,admissions@albertus.edu,New Haven,CT
Asnuntuck Community College,admissions@asnuntuck.edu,Enfield,CT
Connecticut College,admissions@conncoll.edu,New London,CT
Eastern Connecticut State University,admissions@easternct.edu,Willimantic,CT
Fairfield University,admissions@fairfield.edu,Fairfield,CT
Goodwin College,admissions@goodwin.edu,East Hartfod,CT
University of Hartford,admissions@hartford.edu,West Hartford,CT
Hartford Seminary,admissions@hartsem.edu,Hartford,CT
University of New Haven,admissions@newhaven.edu,West Haven,CT
Queens University of Charlotte,admissions@quinnipiac.edu,Hamden,CT
Quinebaug Valley Community College,admissions@qvcc.edu,Danielson,CT
Sacred Heart University,admissions@sacredheart.edu,Fairfield,CT
Southern Connecticut State University,admissions@southernct.edu,New Haven,CT
Three Rivers Community College,admissions@threerivers.edu,Norwich,CT
Trinity College,admissions@trincoll.edu,Hartford,CT
Tunxis Community College,admissions@tunxis.edu,Farmington,CT
University of Connecticut Health Center,admissions@uchc.edu,Farmington,CT
University of Connecticut,admissions@uconn.edu,Storrs,CT
University of Saint Joseph Connecticut,admissions@usj.edu,West Hartford,CT
Western Connecticut State University,admissions@wcsu.edu,Danbury,CT
Wesleyan University,admissions@wesleyan.edu,Middletown,CT
Yale University,admissions@yale.edu,New Haven,CT
American University,admissions@american.edu,Washington,DC
Carnegie Institution for Science,admissions@carnegiescience.edu,Washington,DC
The Catholic University of America,admissions@cua.edu,Washington,DC
Gallaudet University,admissions@gallaudet.edu,Washington,DC
Georgetown University,admissions@georgetown.edu,Washington,DC
The George Washington University,admissions@gwu.edu,Washington,DC
Howard University,admissions@howard.edu,Washington,DC
Johns Hopkins School of Advanced International Studies,admissions@sais-jhu.edu,Washington,DC
University of California Washington Center,admissions@ucdc.edu,Washington,DC
University of the District of Columbia,admissions@udc.edu,Washington,DC
Delaware State University,admissions@desu.edu,Dover,DE
Delaware Technical Community College,admissions@dtcc.edu,Dover,DE
Goldey-Beacom College,admissions@gbc.edu,Wilmington,DE
University of Delaware,admissions@udel.edu,Newark,DE
Wesley College,admissions@wesley.edu,Dover,DE
Wilmington University,admissions@wilmu.edu,New Castle,DE
Carlos Albizu University,admissions@albizu.edu,Miami,FL
Acupuncture Massage College,admissions@amcollege.edu,Miami,FL
Atlantic Institute of Oriental Medicine,admissions@atom.edu,Fort Lauderdale,FL
Barry University,admissions@barry.edu,Miami Shores,FL
Broward College,admissions@broward.edu,Fort Lauderdale,FL
College of Central Florida,admissions@cf.edu,Ocala,FL
Chipola College,admissions@chipola.edu,Marianna,FL
Bethune-Cookman University,admissions@cookman.edu,Daytona Beach,FL
Dade Medical College,admissions@dadmedical.edu,Miami,FL
Daytona State College,admissions@daytonastate.edu,Daytona Beach,FL
Eckerd College,admissions@eckerd.edu,Saint Petersburg,FL
Edison State College,admissions@edison.edu,Fort Myers,FL
Embry-Riddle Aeronautical University,admissions@erau.edu,Daytona Beach,FL
Everglades University,admissions@evergladesuniversity.edu,Boca Raton,FL
Florida Atlantic University,admissions@fau.edu,Boca Raton,FL
Florida Gulf Coast University,admissions@fgcu.edu,Fort Myers,FL
Florida Institute of Technology,admissions@fit.edu,Melbourne,FL
Florida International University,admissions@fiu.edu,Miami,FL
Flagler College,admissions@flagler.edu,Saint Augustine,FL
Florida Southern College,admissions@flsouthern.edu,Lakeland,FL
Florida National University,admissions@fnu.edu,Hialeah,FL
Florida State College at Jacksonville,admissions@fscj.edu,Jacksonville,FL
Florida State University,admissions@fsu.edu,Tallahassee,FL
Gulf Coast State College,admissions@gulfcoast.edu,Panama City,FL
Hillsborough Community College,admissions@hccfl.edu,Tampa,FL
Jacksonville University,admissions@ju.edu,Jacksonville,FL
Keiser University,admissions@keiseruniversity.edu,Fort Lauderdale,FL
Loraines Academy Incorporated,admissions@lorainesacademy.edu,Saint Petersburg,FL
Lake Sumter State College,admissions@lssc.edu,Leesburg,FL
Lynn University,admissions@lynn.edu,Boca Raton,FL
Millennia Atlantic University,admissions@maufl.edu,Doral,FL
Miami Dade College,admissions@mdc.edu,Miami,FL
University of Miami,admissions@miami.edu,Coral Gables,FL
Miami International University of Art and Design,admissions@mymiu.edu,Miami,FL
New College of Florida,admissions@ncf.edu,Sarasota,FL
North Florida Community College,admissions@nfcc.edu,Madison,FL
Nova Southeastern University,admissions@nova.edu,Fort Lauderdale,FL
National University of Health Sciences,admissions@nuhs.edu,(multiple locations),FL
Northwest Florida State College,admissions@nwfsc.edu,Niceville,FL
Palm Beach State College,admissions@palmbeachstate.edu,Lake Worth,FL
Palm Beach Atlantic University,admissions@pba.edu,West Palm Beach,FL
Pensacola State College,admissions@pensacolastate.edu,Pensacola,FL
Pasco-Hernando State College,admissions@phsc.edu,New Port Richey,FL
Ringling College of Art and Design,admissions@ringling.edu,Sarasota,FL
Rollins College,admissions@rollins.edu,Winter Park,FL
Saint Leo University,admissions@saintleo.edu,Saint Leo,FL
State College of Florida,admissions@scf.edu,Bradenton,FL
Seminole State College of Florida,admissions@seminolestate.edu,Sanford,FL
Santa Fe College,admissions@sfcollege.edu,Gainesville,FL
South Florida State College,admissions@southflorida.edu,Avon Park,FL
Space Coast Health Institute,admissions@spacecoast.edu,Melbourne,FL
Saint Petersburg College,admissions@spcollege.edu,Saint Petersburg,FL
Stetson University,admissions@stetson.edu,DeLand,FL
Saint Thomas University,admissions@stu.edu,Miami Gardens,FL
Saint Vincent de Paul Regional Seminary,admissions@svdp.edu,Boynton Beach,FL
Traviss Career Center,admissions@traviss.edu,Lakeland,FL
University of Central Florida,admissions@ucf.edu,Orlando,FL
University of Florida,admissions@ufl.edu,Gainesville,FL
University of North Florida,admissions@unf.edu,Jacksonville,FL
University of South Florida,admissions@usf.edu,Fowler Avenue,FL
University of South Florida Sarasota-Manatee,admissions@usfsm.edu,Sarasota,FL
University of South Florida Saint Petersburg,admissions@usfsp.edu,Saint Petersburg,FL
University of Tampa,admissions@ut.edu,Tampa,FL
University of West Florida,admissions@uwf.edu,Pensacola,FL
Valencia College,admissions@valenciacollege.edu,Orlando,FL
Warner University,admissions@warner.edu,Lake Wales,FL
Webber International University,admissions@webber.edu,Babson Park,FL
Agnes Scott College,admissions@agnesscott.edu,Decatur,GA
Albany Technical College,admissions@albanytech.edu,Albany,GA
Armstrong Atlantic State University,admissions@armstrong.edu,Savannah,GA
Atlanta Technical College,admissions@atlantatech.edu,Atlanta,GA
Atlanta Metropolitan State College,admissions@atlm.edu,Atlanta,GA
Berry College,admissions@berry.edu,Mount Berry,GA
Carver College,admissions@carver.edu,Atlanta,GA
Child Care Education Institute,admissions@cceionline.edu,Duluth,GA
Central Georgia Technical College,admissions@centralgatech.edu,Macon,GA
Clayton State University,admissions@clayton.edu,Morrow,GA
Columbus State University,admissions@columbusstate.edu,Columbus,GA
Columbus Technical College,admissions@columbustech.edu,Columbus,GA
Covenant College,admissions@covenant.edu,Lookout Mountain,GA
Dalton State,admissions@daltonstate.edu,Dalton,GA
Darton State College,admissions@darton.edu,Albany,GA
East Georgia State College,admissions@ega.edu,Swainsboro,GA
Emory University,admissions@emory.edu,Atlanta,GA
Georgia Institute of Technology,admissions@gatech.edu,Atlanta,GA
Georgia College,admissions@gcsu.edu,Milledgeville,GA
Georgia Southern University,admissions@georgiasouthern.edu,Statesboro,GA
Georgia Gwinnett College,admissions@ggc.edu,Lawrenceville,GA
Georgia Perimeter College,admissions@gpc.edu,Decatur,GA
Georgia Regents University Augusta,admissions@gru.edu,Augusta,GA
Georgia State University,admissions@gsu.edu,Atlanta,GA
Georgia South Western State University,admissions@gsw.edu,Americus,GA
Interactive College of Technology,admissions@ict.edu,Morrow,GA
Atlanta's John Marshall Law School,admissions@johnmarshall.edu,Atlanta,GA
Kennesaw State University,admissions@kennesaw.edu,Kennesaw,GA
Lanier Technical College,admissions@laniertech.edu,Oakwood,GA
Life University,admissions@life.edu,Marietta,GA
